time,open,high,low,close,tick_volume,spread,real_volume
2020-04-29 22:21:00,1.08735,1.08745,1.08733,1.08734,30,17,0
2020-04-29 22:22:00,1.08734,1.08737,1.08727,1.08732,51,18,0
2020-04-29 22:23:00,1.08732,1.08742,1.08723,1.08725,45,18,0
2020-04-29 22:24:00,1.08725,1.08735,1.08705,1.0871,92,17,0
2020-04-29 22:25:00,1.08709,1.08739,1.08709,1.08735,59,15,0
2020-04-29 22:26:00,1.08735,1.08744,1.08722,1.08728,65,17,0
2020-04-29 22:27:00,1.08728,1.08733,1.08716,1.08731,58,15,0
2020-04-29 22:28:00,1.08732,1.08737,1.08711,1.08714,74,16,0
2020-04-29 22:29:00,1.08714,1.08732,1.08712,1.08727,94,15,0
2020-04-29 22:30:00,1.08727,1.08743,1.08684,1.08707,131,15,0
2020-04-29 22:31:00,1.08706,1.08723,1.08698,1.08721,76,15,0
2020-04-29 22:32:00,1.0872,1.08725,1.08706,1.08715,74,16,0
2020-04-29 22:33:00,1.08715,1.08733,1.08712,1.08728,53,17,0
2020-04-29 22:34:00,1.08728,1.0873,1.08717,1.08718,55,18,0
2020-04-29 22:35:00,1.08718,1.0874,1.08718,1.0874,60,16,0
2020-04-29 22:36:00,1.0874,1.08745,1.08733,1.08734,80,16,0
2020-04-29 22:37:00,1.0873599999999999,1.08744,1.08729,1.0874,77,15,0
2020-04-29 22:38:00,1.0874,1.08751,1.08737,1.08749,50,16,0
2020-04-29 22:39:00,1.08749,1.08749,1.0874,1.08749,49,17,0
2020-04-29 22:40:00,1.08749,1.08778,1.08743,1.08777,91,17,0
2020-04-29 22:41:00,1.08777,1.08777,1.0875,1.08751,94,18,0
2020-04-29 22:42:00,1.08751,1.08764,1.08744,1.08764,62,16,0
2020-04-29 22:43:00,1.08764,1.08766,1.08758,1.08765,49,16,0
2020-04-29 22:44:00,1.08765,1.08767,1.08752,1.0876,45,17,0
2020-04-29 22:45:00,1.0876,1.08785,1.0876,1.08778,84,17,0
2020-04-29 22:46:00,1.08778,1.0878700000000001,1.08776,1.08784,56,18,0
2020-04-29 22:47:00,1.08784,1.08789,1.08776,1.0878,50,16,0
2020-04-29 22:48:00,1.0878,1.08816,1.08778,1.08815,56,17,0
2020-04-29 22:49:00,1.08815,1.08819,1.0879,1.088,54,15,0
2020-04-29 22:50:00,1.088,1.088,1.08783,1.08792,67,15,0
2020-04-29 22:51:00,1.08793,1.08795,1.08779,1.08788,48,18,0
2020-04-29 22:52:00,1.0878700000000001,1.08795,1.08774,1.0878,58,17,0
2020-04-29 22:53:00,1.08781,1.08786,1.08777,1.0878,56,17,0
2020-04-29 22:54:00,1.0878,1.08781,1.08771,1.08774,36,16,0
2020-04-29 22:55:00,1.08773,1.08775,1.08763,1.0877,56,16,0
2020-04-29 22:56:00,1.0877,1.08782,1.08764,1.08779,50,17,0
2020-04-29 22:57:00,1.08779,1.08783,1.08767,1.08769,66,17,0
2020-04-29 22:58:00,1.08769,1.08773,1.08743,1.08743,114,15,0
2020-04-29 22:59:00,1.08745,1.08764,1.08743,1.08744,125,16,0
2020-04-29 23:00:00,1.08744,1.08754,1.08722,1.08722,97,17,0
2020-04-29 23:01:00,1.0872,1.0873,1.08718,1.08724,78,18,0
2020-04-29 23:02:00,1.08724,1.08744,1.08716,1.08743,84,17,0
2020-04-29 23:03:00,1.08743,1.08746,1.0874,1.08743,25,18,0
2020-04-29 23:04:00,1.08744,1.08748,1.0873599999999999,1.08738,52,18,0
2020-04-29 23:05:00,1.08738,1.08741,1.08722,1.08734,49,18,0
2020-04-29 23:06:00,1.08734,1.08739,1.08727,1.08727,23,18,0
2020-04-29 23:07:00,1.08728,1.08737,1.08727,1.08727,33,16,0
2020-04-29 23:08:00,1.08727,1.08731,1.08724,1.08724,18,18,0
2020-04-29 23:09:00,1.08724,1.08725,1.08712,1.08714,42,18,0
2020-04-29 23:10:00,1.08714,1.08719,1.08714,1.08718,17,18,0
2020-04-29 23:11:00,1.08718,1.0872,1.08718,1.0872,13,18,0
2020-04-29 23:12:00,1.08722,1.08724,1.08717,1.08721,32,16,0
2020-04-29 23:13:00,1.08721,1.08727,1.08718,1.08718,11,17,0
2020-04-29 23:14:00,1.08718,1.08718,1.087,1.08705,32,17,0
2020-04-29 23:15:00,1.08705,1.0871,1.08695,1.08697,33,17,0
2020-04-29 23:16:00,1.08697,1.08697,1.08692,1.08692,11,18,0
2020-04-29 23:17:00,1.08692,1.08699,1.08692,1.08699,8,17,0
2020-04-29 23:18:00,1.087,1.087,1.08697,1.08698,10,18,0
2020-04-29 23:19:00,1.08698,1.08705,1.08698,1.087,14,17,0
2020-04-29 23:20:00,1.087,1.0871,1.087,1.08706,16,17,0
2020-04-29 23:21:00,1.08706,1.08722,1.08706,1.08721,11,16,0
2020-04-29 23:22:00,1.08722,1.08734,1.08721,1.08729,34,16,0
2020-04-29 23:23:00,1.08729,1.0873599999999999,1.08729,1.08734,10,17,0
2020-04-29 23:24:00,1.0873599999999999,1.08747,1.0873599999999999,1.08744,16,16,0
2020-04-29 23:25:00,1.08744,1.08745,1.0873599999999999,1.08739,17,6,0
2020-04-29 23:26:00,1.08739,1.08739,1.08738,1.08739,3,17,0
2020-04-29 23:27:00,1.08739,1.08739,1.08734,1.08734,4,18,0
2020-04-29 23:28:00,1.08734,1.08743,1.08732,1.08732,9,3,0
2020-04-29 23:29:00,1.08732,1.08744,1.08732,1.08743,19,18,0
2020-04-29 23:30:00,1.08743,1.08753,1.08743,1.0875,28,18,0
2020-04-29 23:31:00,1.08749,1.0875,1.08743,1.08744,19,18,0
2020-04-29 23:32:00,1.08744,1.08761,1.08744,1.08759,42,18,0
2020-04-29 23:33:00,1.08759,1.08765,1.08757,1.08765,16,18,0
2020-04-29 23:34:00,1.08765,1.0877,1.08761,1.0877,27,18,0
2020-04-29 23:35:00,1.0877,1.08772,1.08757,1.08758,14,18,0
2020-04-29 23:36:00,1.08758,1.08758,1.08738,1.08738,22,18,0
2020-04-29 23:37:00,1.08738,1.08758,1.08738,1.08755,43,18,0
2020-04-29 23:38:00,1.08755,1.08759,1.08753,1.08753,17,18,0
2020-04-29 23:39:00,1.08753,1.08756,1.08748,1.08748,25,18,0
2020-04-29 23:40:00,1.08748,1.08761,1.08747,1.08759,23,16,0
2020-04-29 23:41:00,1.08759,1.08761,1.08756,1.08757,13,17,0
2020-04-29 23:42:00,1.08757,1.08774,1.08757,1.08773,14,19,0
2020-04-29 23:43:00,1.08773,1.08776,1.08773,1.08775,6,20,0
2020-04-29 23:44:00,1.0878,1.08782,1.08778,1.08779,13,19,0
2020-04-29 23:45:00,1.08779,1.08779,1.08774,1.08776,12,19,0
2020-04-29 23:46:00,1.08778,1.08779,1.08768,1.08768,28,18,0
2020-04-29 23:47:00,1.08769,1.08776,1.08764,1.08775,15,18,0
2020-04-29 23:48:00,1.08774,1.08777,1.08767,1.08768,45,17,0
2020-04-29 23:49:00,1.08768,1.08776,1.08768,1.08771,34,18,0
2020-04-29 23:50:00,1.08772,1.08777,1.08753,1.08759,55,17,0
2020-04-29 23:51:00,1.0876,1.08775,1.0876,1.08765,25,6,0
2020-04-29 23:52:00,1.08764,1.08766,1.08763,1.08766,11,18,0
2020-04-29 23:53:00,1.08766,1.08767,1.08762,1.08763,14,19,0
2020-04-29 23:54:00,1.08763,1.08776,1.08763,1.08771,24,17,0
2020-04-29 23:55:00,1.08771,1.08782,1.08768,1.08778,37,18,0
2020-04-29 23:56:00,1.08777,1.08777,1.08767,1.08771,32,19,0
2020-04-29 23:57:00,1.08771,1.08784,1.08771,1.08775,27,16,0
2020-04-29 23:58:00,1.08775,1.08778,1.08713,1.08727,46,16,0
2020-04-29 23:59:00,1.08727,1.08735,1.08694,1.08724,48,19,0
2020-04-30 00:00:00,1.08741,1.08806,1.08737,1.08806,3,17,0
